location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
4837116,"PHA Office","pm25",272.35283355712886,"µg/m³","2025-11-13T17:00:00Z","2025-11-13T22:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",330.46899820963546,"µg/m³","2025-11-13T18:00:00Z","2025-11-13T23:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",285.36649856567385,"µg/m³","2025-11-13T19:00:00Z","2025-11-14T00:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",257.06383285522463,"µg/m³","2025-11-13T20:00:00Z","2025-11-14T01:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",226.57766672770182,"µg/m³","2025-11-13T21:00:00Z","2025-11-14T02:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",202.05816675821941,"µg/m³","2025-11-13T22:00:00Z","2025-11-14T03:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",216.35472717285157,"µg/m³","2025-11-13T23:00:00Z","2025-11-14T04:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",277.70866750081376,"µg/m³","2025-11-14T00:00:00Z","2025-11-14T05:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",52.25216681162516,"%","2025-11-13T01:00:00Z","2025-11-13T06:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",53.133999951680494,"%","2025-11-13T02:00:00Z","2025-11-13T07:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
